asr,diar,oracle,clip_id,cp_errors,cp_len,di_errors,di_len,wer_errors,wer_len,wder_errors,wder_len,ref_words,hyp_words,ref_spk,hyp_spk
indicconformer,pyannote31+llm,False,PQB3-4sZUeY__000000000_001132000,2755,3024,2755,3024,2709,3024,221,690,3024,694,4,4
indicconformer,pyannote31+llm,False,PRAzUz0GANs__000223000_000283000,166,194,166,194,166,194,9,83,194,83,2,2
indicconformer,pyannote31+llm,False,PSIzXy5-y2E__000002000_000918000,1760,2480,1745,2480,1731,2480,71,1268,2480,1281,3,4
indicconformer,pyannote31+llm,False,PVDfS7lcJHY__000000000_000360000,878,1036,878,1036,868,1036,49,345,1036,348,6,6
indicconformer,pyannote31+llm,False,Pjre5dpnKGA__000000000_000330000,641,769,641,769,641,769,33,274,769,274,4,3
indicconformer,pyannote31+llm,False,QhpjuNTZoA8__000000000_000586000,1443,1572,1443,1572,1157,1572,311,838,1572,848,3,3
indicconformer,pyannote31+llm,False,QuA_B6IZ6Ls__000061000_001863000,6659,6635,6635,6635,6635,6635,1758,2774,6635,2774,4,5
indicconformer,pyannote31+llm,False,RL2fhIEEbZg__000000000_000065000,111,164,111,164,111,164,5,72,164,72,3,2
indicconformer,pyannote31+llm,False,RL2fhIEEbZg__000066000_001034000,1789,2570,1789,2570,1779,2570,94,1236,2570,1248,3,3
indicconformer,pyannote31+llm,False,RWTmftezCwI__000000000_000060000,90,119,90,119,90,119,1,59,119,60,2,2
indicconformer,pyannote31+llm,False,RZUZyvRzi80__000000000_000336000,342,1085,342,1085,327,1085,14,885,1085,902,4,4
indicconformer,pyannote31+llm,False,SZ7ay4OjfAE__000000000_000897000,1832,2159,1832,2159,1805,2159,160,720,2159,729,5,5
indicconformer,pyannote31+llm,False,T3I2T-cfhG4__000160000_000210000,53,116,53,116,53,116,0,88,116,90,2,2
indicconformer,pyannote31+llm,False,TU3M6wSQV_g__000099000_000171000,152,216,152,216,148,216,17,103,216,104,2,2
indicconformer,pyannote31+llm,False,Tlha36rSd5o__000240000_000374000,248,318,248,318,248,318,0,149,318,154,2,2
indicconformer,pyannote31+llm,False,TrPnW5kLAyQ__000093000_000513000,758,1099,758,1099,757,1099,26,573,1099,580,4,4
indicconformer,pyannote31+llm,False,U_EHjxThUgc__000181000_000289000,260,299,258,299,132,299,89,204,299,208,3,3
indicconformer,pyannote31+llm,False,VHlIFsHPWbk__000023000_000470000,717,1329,717,1329,713,1329,27,889,1329,904,4,4
indicconformer,pyannote31+llm,False,VKY0uuZ6Om8__000575000_000935000,764,1077,764,1077,757,1077,25,468,1077,471,3,3
